Language,Q4,Q24,Q23,Q18,Q5,Q11,Q8,Q17_1,Q17_2,Q17_3,Q17_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20
EN,USA,Male,41-50,1,5,Did Not Vote,0,4.9,4.9,7,7,5.7,6.2,5.4,5.5,6.3,5.9,7
ES,Mexico,Female,25-30,0,1,Clinton,0,7,7,7,7,NA,NA,NA,NA,NA,NA,7
EN,USA,Female,51-60,0,5,Trump,NA,1,1.1,2.3,3.4,NA,NA,NA,NA,NA,NA,4.7
EN,USA,Female,18-24,0,3,Did Not Vote,0,6.9,5.5,5.6,6.2,NA,NA,NA,NA,NA,NA,6
EN,USA,Male,51-60,0,5,Trump,1,4.6,4.4,4.7,4.6,NA,NA,NA,NA,NA,NA,4.3
EN,Other,Male,25-30,0,3,Did Not Vote,1,1,1,1.8,1.7,NA,NA,NA,NA,NA,NA,2
EN,Cuba,Female,25-30,1,5,Clinton,0,5.4,5.4,4.2,5.7,2.2,5.6,2.7,6.8,3.3,4.9,4.7
EN,USA,Male,31-40,0,5,Trump,1,1,1.1,4.9,5.9,NA,NA,NA,NA,NA,NA,3
EN,USA,Female,41-50,1,5,Clinton,0,5.1,1,7,7,4,1,5.3,1,1,1,7
ES,Other,Female,31-40,1,1,Clinton,0,7,7,7,7,6.8,6.9,6.8,6.9,6.9,6.9,6.9
ES,Mexico,Male,25-30,1,3,Did Not Vote,0,7,7,7,7,NA,7,7,7,7,7,7
ES,Colombia,Female,31-40,0,1,Did Not Vote,0,1,2.9,7,6.7,NA,NA,NA,NA,NA,NA,6.4
ES,Other,Male,41-50,1,1,Did Not Vote,NA,NA,NA,NA,NA,1,NA,2.4,NA,NA,NA,NA
EN,USA,Male,41-50,1,3,Clinton,0,5.5,5.4,5.4,6,6.2,5.8,5.6,5.9,5.6,5.6,6
EN,USA,Male,18-24,1,3,Trump,1,6.4,6.4,6.2,6.1,6.6,6.2,6.2,5.7,6.6,6,6.1
EN,USA,Female,31-40,0,5,Trump,1,1,1,4.4,4.6,NA,NA,NA,NA,NA,NA,2.9
EN,USA,Male,31-40,0,5,Clinton,0,1,4,7,7,NA,NA,NA,NA,NA,NA,7
EN,Mexico,Male,41-50,1,5,Other,0,1,1,1,1,1,4.3,5.6,3.5,4.3,1,5.4
ES,USA,Female,25-30,NA,2,Did Not Vote,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1
EN,USA,Female,25-30,1,NA,Did Not Vote,0,1,4.3,7,4.2,1,4.1,4.2,4.4,4.2,4.6,4.1
EN,USA,Female,31-40,1,5,Did Not Vote,0,1,1.1,2,4,NA,6,5.5,6,2.5,1.5,NA
ES,Mexico,Male,25-30,1,3,Trump,0,4.9,5.1,5,5.3,5.7,5.5,5.7,5.8,5.5,5.6,5.7
EN,USA,Male,25-30,1,1,Clinton,0,4.7,5.1,3.7,4.5,4.4,4.7,4.9,5.1,5.3,5.5,4.4
EN,NA,Female,18-24,0,5,Did Not Vote,NA,2.8,4.9,3.8,5.7,NA,NA,NA,NA,NA,NA,NA
EN,USA,Male,18-24,1,3,Clinton,0,7,6.9,2.9,6.2,5.5,6.3,6.4,5.2,2.5,6.7,6.8
EN,NA,Male,18-24,0,4,Did Not Vote,0,1.8,2.2,NA,3,NA,NA,NA,NA,NA,NA,5.4
EN,El Salvador,Female,25-30,1,3,Clinton,0,4.5,3.2,2.1,5.5,5.2,3,3.6,6.2,4.8,3.1,4
ES,El Salvador,Female,25-30,1,2,Did Not Vote,0,7,7,7,7,7,7,7,1,7,7,7
ES,25,Male,18-24,1,1,Other,1,7,6,7,7,7,5.3,7,7,7,3,5
ES,Other,Female,51-60,0,5,Did Not Vote,0,1,1,5,NA,NA,NA,NA,NA,NA,NA,5.1
ES,Other,Female,41-50,0,1,Did Not Vote,0,1,4,7,6,NA,NA,NA,NA,NA,NA,NA
ES,Guatemala,Male,31-40,1,1,Did Not Vote,0,6.3,6.1,5.1,6.7,6.3,6.4,6.1,NA,NA,6.3,7
EN,USA,Male,25-30,1,2,Trump,0,5.4,4.9,5.6,5.8,5.4,5.9,3.3,5.5,4.6,5,5.9
EN,USA,Female,31-40,0,5,Other,0,1,1,7,7,NA,NA,NA,NA,NA,NA,7
EN,USA,Male,25-30,1,2,Clinton,0,5.6,5.3,4.9,5.6,4.8,5.4,5.5,5.4,5.3,5.5,5.8
EN,USA,Male,51-60,0,5,Did Not Vote,0,1,1,1.9,1.9,NA,NA,NA,NA,NA,NA,4.1
EN,USA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ES,Puerto Rico,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,Chile,Female,18-24,1,3,Clinton,0,2.1,NA,7,6,5.9,6,5.1,5.3,5.6,5.3,5.9
EN,USA,Female,18-24,1,1,Clinton,0,1.9,5.4,5.5,2.1,5.3,2.7,5.4,2.5,2.7,5.6,5.4
EN,Mexico,Male,31-40,1,5,Clinton,0,5.4,5.7,6,5.8,5.7,5.5,5.6,5.5,5.7,5.7,5.9
EN,NA,Male,31-40,1,5,Other,NA,7,2.2,2.5,NA,NA,NA,NA,NA,5.6,NA,NA
EN,USA,Female,31-40,1,5,Did Not Vote,0,1,3.9,7,7,7,7,7,7,7,7,6
EN,Puerto Rico,Male,31-40,1,3,Trump,0,7,7,7,7,7,7,6.6,7,6.9,7,7
EN,USA,Female,51-60,0,5,Clinton,1,1,1.8,5.5,5.7,NA,NA,NA,NA,NA,NA,5
EN,USA,Male,41-50,1,5,Clinton,1,1,6,7,1,7,7,7,7,7,7,7
EN,USA,Male,41-50,1,1,Clinton,0,5.1,5.7,5.2,5.8,5.3,5.1,6,5.2,5.7,5.4,5
EN,NA,Female,31-40,0,4,Trump,1,1.1,1.1,1.1,1.1,NA,NA,NA,NA,NA,NA,2
EN,NA,Male,41-50,0,5,Did Not Vote,1,1,1,NA,5,NA,NA,NA,NA,NA,NA,7
EN,USA,Female,31-40,1,4,Did Not Vote,1,1,1,4.1,3.6,1,3.4,3.4,4.4,4.2,4.2,4.5
EN,Other,Female,25-30,1,1,Trump,0,6.5,6.5,6.5,6.4,6.3,6.4,6.7,6.3,6.7,6.6,6.4
ES,Other,Female,51-60,1,5,Did Not Vote,NA,1,2.1,3.1,2.1,6.1,6.1,6.1,6.3,6.5,5,5.1
EN,Puerto Rico,Female,18-24,0,3,Clinton,0,7,7,7,7,NA,NA,NA,NA,NA,NA,4
EN,25,Female,25-30,0,4,Other,0,1,7,7,7,NA,NA,NA,NA,NA,NA,7
